Scenario,Distribution,Target_Skewness,Target_ExcessKurtosis,Achieved_Skewness,Achieved_ExcessKurtosis,Lambda,L,Method,Shift_Size,ARL1,SDRL1,MRL1
Skewness,Skew-Normal,0.5,NA,0.540224751,0.415848185,0.1,2.6952,EWMA,0.25,115.3436,179.7765382,58
Skewness,Skew-Normal,0.5,NA,0.495616014,0.300805534,0.1,2.6952,WV,0.25,100.7475,161.1384054,52
Skewness,Skew-Normal,0.5,NA,0.491737563,0.313959279,0.1,2.6952,WSD,0.25,86.7883,142.2171616,45
Skewness,Skew-Normal,0.5,NA,0.500501736,0.42155922,0.1,2.6952,SC,0.25,254.8882,357.3754189,124
Skewness,Skew-Normal,0.5,NA,0.481606107,0.304407101,0.2,2.8537,EWMA,0.25,130.3263,205.1584842,63
Skewness,Skew-Normal,0.5,NA,0.507649245,0.371723439,0.2,2.8537,WV,0.25,110.7037,185.2870871,54
Skewness,Skew-Normal,0.5,NA,0.483787297,0.36819686,0.2,2.8537,WSD,0.25,91.0826,144.5851634,47.5
Skewness,Skew-Normal,0.5,NA,0.490798323,0.329789218,0.2,2.8537,SC,0.25,318.2412,425.9936019,153
Skewness,Skew-Normal,0.5,NA,0.47423293,0.226305269,0.3,2.9286,EWMA,0.25,138.5199,222.7172973,67
Skewness,Skew-Normal,0.5,NA,0.491370712,0.24640348,0.3,2.9286,WV,0.25,107.9671,168.89752,54
Skewness,Skew-Normal,0.5,NA,0.515530379,0.340368643,0.3,2.9286,WSD,0.25,89.2524,143.5191829,46
Skewness,Skew-Normal,0.5,NA,0.500935879,0.312018222,0.3,2.9286,SC,0.25,366.8725,474.1315087,178
Skewness,Skew-Normal,0.5,NA,0.520097598,0.408953073,0.1,2.6952,EWMA,0.5,33.6875,41.39782629,22
Skewness,Skew-Normal,0.5,NA,0.488622434,0.295410405,0.1,2.6952,WV,0.5,29.5509,32.328958,20
Skewness,Skew-Normal,0.5,NA,0.502264794,0.305412725,0.1,2.6952,WSD,0.5,26.8546,27.53245108,19
Skewness,Skew-Normal,0.5,NA,0.511553033,0.357598517,0.1,2.6952,SC,0.5,72.8216,119.9450326,39
Skewness,Skew-Normal,0.5,NA,0.512085026,0.325940825,0.2,2.8537,EWMA,0.5,40.9795,53.98320385,24
Skewness,Skew-Normal,0.5,NA,0.482079757,0.314121847,0.2,2.8537,WV,0.5,35.4763,47.09903895,22
Skewness,Skew-Normal,0.5,NA,0.470667564,0.221110194,0.2,2.8537,WSD,0.5,30.9268,40.32905014,19
Skewness,Skew-Normal,0.5,NA,0.485162957,0.279727854,0.2,2.8537,SC,0.5,116.4602,202.5819715,54
Skewness,Skew-Normal,0.5,NA,0.519259009,0.399885404,0.3,2.9286,EWMA,0.5,50.2319,72.11654181,28
Skewness,Skew-Normal,0.5,NA,0.506655977,0.357433248,0.3,2.9286,WV,0.5,40.3244,55.89221197,23
Skewness,Skew-Normal,0.5,NA,0.512791389,0.339382236,0.3,2.9286,WSD,0.5,34.8496,45.01811017,21
Skewness,Skew-Normal,0.5,NA,0.472554712,0.353200272,0.3,2.9286,SC,0.5,149.4031,247.2417065,68
Skewness,Skew-Normal,0.5,NA,0.517489867,0.341141038,0.1,2.6952,EWMA,0.75,15.8847,11.92163657,13
Skewness,Skew-Normal,0.5,NA,0.524869426,0.406083797,0.1,2.6952,WV,0.75,14.6642,10.70672227,12
Skewness,Skew-Normal,0.5,NA,0.533435435,0.378428216,0.1,2.6952,WSD,0.75,13.4304,9.297558836,11
Skewness,Skew-Normal,0.5,NA,0.486396995,0.291039353,0.1,2.6952,SC,0.75,24.9395,22.54988447,19
Skewness,Skew-Normal,0.5,NA,0.48138194,0.281974777,0.2,2.8537,EWMA,0.75,18.0524,18.26448503,13
Skewness,Skew-Normal,0.5,NA,0.483932747,0.26166524,0.2,2.8537,WV,0.75,16.2763,15.46175491,12
Skewness,Skew-Normal,0.5,NA,0.498391997,0.336990861,0.2,2.8537,WSD,0.75,14.7485,13.32334038,11
Skewness,Skew-Normal,0.5,NA,0.490431162,0.337396741,0.2,2.8537,SC,0.75,37.8885,52.50522019,22
Skewness,Skew-Normal,0.5,NA,0.489205826,0.397926191,0.3,2.9286,EWMA,0.75,21.7372,25.42793728,14
Skewness,Skew-Normal,0.5,NA,0.525705788,0.359638502,0.3,2.9286,WV,0.75,18.6394,19.64910116,13
Skewness,Skew-Normal,0.5,NA,0.48729593,0.314021205,0.3,2.9286,WSD,0.75,16.8073,18.24908408,11
Skewness,Skew-Normal,0.5,NA,0.531193232,0.380366472,0.3,2.9286,SC,0.75,61.1409,103.2039706,31
Skewness,Skew-Normal,0.5,NA,0.457151595,0.178652525,0.1,2.6952,EWMA,1,10.0972,5.684363057,9
Skewness,Skew-Normal,0.5,NA,0.495680766,0.308215777,0.1,2.6952,WV,1,9.5175,5.079239472,8
Skewness,Skew-Normal,0.5,NA,0.504737597,0.373658655,0.1,2.6952,WSD,1,9.0611,4.943016299,8
Skewness,Skew-Normal,0.5,NA,0.51495484,0.420753857,0.1,2.6952,SC,1,14.4464,9.166729511,12
