"Scenario","Distribution","Target_Skewness","Target_ExcessKurtosis","Achieved_Skewness","Achieved_ExcessKurtosis","Lambda","L","Method","Shift_Size","ARL1","SDRL1","MRL1"
"Kurtosis","Skew-Student-t",0.5,2,0.368774023599499,2.98291819675798,0.1,2.6952,"EWMA",0.25,100.4117,160.434527851341,52
"Kurtosis","Skew-Student-t",0.5,2,0.129961825673548,4.26531952525181,0.1,2.6952,"WV",0.25,94.7485,148.506086924191,49
"Kurtosis","Skew-Student-t",0.5,2,0.541438751251041,3.774678770827,0.1,2.6952,"WSD",0.25,86.0759,135.211928341203,46
"Kurtosis","Skew-Student-t",0.5,2,0.32239445320774,3.1728070815107,0.1,2.6952,"SC",0.25,157.9188,230.878590819785,79
"Kurtosis","Skew-Student-t",0.5,2,0.434486904831477,3.21325698215083,0.2,2.8537,"EWMA",0.25,98.1108,143.589234659814,53
"Kurtosis","Skew-Student-t",0.5,2,0.443190877046361,3.72364421342175,0.2,2.8537,"WV",0.25,92.4518,130.906017872791,50
"Kurtosis","Skew-Student-t",0.5,2,0.571743995160632,3.8765818765244,0.2,2.8537,"WSD",0.25,85.4845,124.952172707386,47
"Kurtosis","Skew-Student-t",0.5,2,0.590332447156277,5.73488493946397,0.2,2.8537,"SC",0.25,175.5076,227.261540791733,99
"Kurtosis","Skew-Student-t",0.5,2,0.502422289976769,3.18301231570574,0.3,2.9286,"EWMA",0.25,92.5857,121.860145433257,53
"Kurtosis","Skew-Student-t",0.5,2,0.64373886308838,7.85828134610931,0.3,2.9286,"WV",0.25,85.5964,117.076359673674,48
"Kurtosis","Skew-Student-t",0.5,2,0.398729644179382,3.46123868510561,0.3,2.9286,"WSD",0.25,82.3391,114.000702310129,47
"Kurtosis","Skew-Student-t",0.5,2,0.519145736574914,5.19570334713467,0.3,2.9286,"SC",0.25,143.6897,182.515118252569,84
"Kurtosis","Skew-Student-t",0.5,2,0.480320545419342,4.71893986753212,0.1,2.6952,"EWMA",0.5,31.5033,38.6979216757722,21
"Kurtosis","Skew-Student-t",0.5,2,0.484381220498641,3.1227103571937,0.1,2.6952,"WV",0.5,28.9512,31.8318448286385,20
"Kurtosis","Skew-Student-t",0.5,2,0.480856587029853,6.00206262965359,0.1,2.6952,"WSD",0.5,28.1433,33.6836848366152,19
"Kurtosis","Skew-Student-t",0.5,2,0.497345183668837,3.67982448489696,0.1,2.6952,"SC",0.5,61.233,99.8537800423142,34
"Kurtosis","Skew-Student-t",0.5,2,0.545040703305572,5.47594375862863,0.2,2.8537,"EWMA",0.5,38.5304,52.248294367055,23
"Kurtosis","Skew-Student-t",0.5,2,0.869203307109295,11.4565996553507,0.2,2.8537,"WV",0.5,36.1616,46.980195820366,22
"Kurtosis","Skew-Student-t",0.5,2,0.530573970103511,3.37029591222647,0.2,2.8537,"WSD",0.5,33.0383,44.9914775976033,20
"Kurtosis","Skew-Student-t",0.5,2,1.09296582865007,13.9792138696805,0.2,2.8537,"SC",0.5,154.7818,219.26508638306,81
"Kurtosis","Skew-Student-t",0.5,2,0.468035915302627,3.9495154743189,0.3,2.9286,"EWMA",0.5,44.1447,62.4485623870111,26
"Kurtosis","Skew-Student-t",0.5,2,0.319046991009897,4.33243680395344,0.3,2.9286,"WV",0.5,40.2566,54.6430301366446,24
"Kurtosis","Skew-Student-t",0.5,2,0.0732856328711355,8.27066607779896,0.3,2.9286,"WSD",0.5,38.4947,49.5927143403299,23
"Kurtosis","Skew-Student-t",0.5,2,0.778036740122625,7.73557361660156,0.3,2.9286,"SC",0.5,126.3489,172.411100940638,70
"Kurtosis","Skew-Student-t",0.5,2,0.559700391658631,5.11498473522685,0.1,2.6952,"EWMA",0.75,14.9623,11.8941088650041,12
"Kurtosis","Skew-Student-t",0.5,2,0.41329312665913,4.21760750671934,0.1,2.6952,"WV",0.75,14.2892,10.2076727523124,12
"Kurtosis","Skew-Student-t",0.5,2,0.392896956898536,3.37102582994419,0.1,2.6952,"WSD",0.75,13.6746,10.0224328262142,11
"Kurtosis","Skew-Student-t",0.5,2,0.621989553988071,5.39325684190108,0.1,2.6952,"SC",0.75,27.2366,41.4873202341875,19
