"Scenario","Distribution","Target_Skewness","Target_ExcessKurtosis","Achieved_Skewness","Achieved_ExcessKurtosis","Lambda","L","Method","Shift_Size","ARL1","SDRL1","MRL1"
"Skewness","Skew-Normal",0.5,NA,0.540224750508803,0.41584818526445,0.1,2.6952,"EWMA",0.25,115.3436,179.776538234025,58
"Skewness","Skew-Normal",0.5,NA,0.495616013623367,0.300805534304329,0.1,2.6952,"WV",0.25,100.7475,161.138405423165,52
"Skewness","Skew-Normal",0.5,NA,0.491737563268745,0.313959278778372,0.1,2.6952,"WSD",0.25,86.7883,142.217161605819,45
"Skewness","Skew-Normal",0.5,NA,0.50050173618523,0.421559220328235,0.1,2.6952,"SC",0.25,254.8882,357.375418880149,124
"Skewness","Skew-Normal",0.5,NA,0.481606106881455,0.304407101106829,0.2,2.8537,"EWMA",0.25,130.3263,205.158484174242,63
"Skewness","Skew-Normal",0.5,NA,0.507649244642708,0.371723439460135,0.2,2.8537,"WV",0.25,110.7037,185.287087075095,54
"Skewness","Skew-Normal",0.5,NA,0.483787296523438,0.36819686037614,0.2,2.8537,"WSD",0.25,91.0826,144.585163361205,47.5
"Skewness","Skew-Normal",0.5,NA,0.490798322997787,0.329789218063207,0.2,2.8537,"SC",0.25,318.2412,425.993601920789,153
"Skewness","Skew-Normal",0.5,NA,0.474232929700108,0.22630526876267,0.3,2.9286,"EWMA",0.25,138.5199,222.717297270419,67
"Skewness","Skew-Normal",0.5,NA,0.491370711620858,0.246403479602371,0.3,2.9286,"WV",0.25,107.9671,168.897519978286,54
"Skewness","Skew-Normal",0.5,NA,0.515530379310653,0.340368642554273,0.3,2.9286,"WSD",0.25,89.2524,143.519182933248,46
"Skewness","Skew-Normal",0.5,NA,0.500935879238179,0.312018221646899,0.3,2.9286,"SC",0.25,366.8725,474.131508668746,178
"Skewness","Skew-Normal",0.5,NA,0.520097597654514,0.408953072828519,0.1,2.6952,"EWMA",0.5,33.6875,41.3978262925987,22
"Skewness","Skew-Normal",0.5,NA,0.488622434391697,0.295410404557336,0.1,2.6952,"WV",0.5,29.5509,32.3289579996407,20
"Skewness","Skew-Normal",0.5,NA,0.502264794038123,0.305412724562558,0.1,2.6952,"WSD",0.5,26.8546,27.5324510791583,19
"Skewness","Skew-Normal",0.5,NA,0.511553033067559,0.357598517454389,0.1,2.6952,"SC",0.5,72.8216,119.945032637977,39
"Skewness","Skew-Normal",0.5,NA,0.51208502592067,0.325940825230393,0.2,2.8537,"EWMA",0.5,40.9795,53.9832038543456,24
"Skewness","Skew-Normal",0.5,NA,0.482079757185062,0.314121847194447,0.2,2.8537,"WV",0.5,35.4763,47.099038952584,22
"Skewness","Skew-Normal",0.5,NA,0.470667564241776,0.221110194363189,0.2,2.8537,"WSD",0.5,30.9268,40.3290501374443,19
"Skewness","Skew-Normal",0.5,NA,0.485162956653303,0.279727854314346,0.2,2.8537,"SC",0.5,116.4602,202.581971462112,54
"Skewness","Skew-Normal",0.5,NA,0.519259009476683,0.399885404029807,0.3,2.9286,"EWMA",0.5,50.2319,72.1165418052626,28
"Skewness","Skew-Normal",0.5,NA,0.506655977344046,0.357433247761911,0.3,2.9286,"WV",0.5,40.3244,55.8922119671056,23
"Skewness","Skew-Normal",0.5,NA,0.512791388596225,0.339382235904087,0.3,2.9286,"WSD",0.5,34.8496,45.0181101654022,21
"Skewness","Skew-Normal",0.5,NA,0.472554712373947,0.353200272498174,0.3,2.9286,"SC",0.5,149.4031,247.241706547531,68
"Skewness","Skew-Normal",0.5,NA,0.517489866805889,0.341141037794912,0.1,2.6952,"EWMA",0.75,15.8847,11.92163656768,13
"Skewness","Skew-Normal",0.5,NA,0.524869426131118,0.406083797320997,0.1,2.6952,"WV",0.75,14.6642,10.7067222692183,12
"Skewness","Skew-Normal",0.5,NA,0.533435435318973,0.37842821598863,0.1,2.6952,"WSD",0.75,13.4304,9.29755883552398,11
"Skewness","Skew-Normal",0.5,NA,0.486396995048756,0.291039353194848,0.1,2.6952,"SC",0.75,24.9395,22.5498844670865,19
"Skewness","Skew-Normal",0.5,NA,0.481381940303194,0.281974777485212,0.2,2.8537,"EWMA",0.75,18.0524,18.2644850291854,13
"Skewness","Skew-Normal",0.5,NA,0.48393274729619,0.261665239825019,0.2,2.8537,"WV",0.75,16.2763,15.4617549099864,12
"Skewness","Skew-Normal",0.5,NA,0.498391996510648,0.336990860978268,0.2,2.8537,"WSD",0.75,14.7485,13.3233403803209,11
"Skewness","Skew-Normal",0.5,NA,0.490431161794737,0.337396741107887,0.2,2.8537,"SC",0.75,37.8885,52.5052201934699,22
"Skewness","Skew-Normal",0.5,NA,0.489205825922478,0.397926191034296,0.3,2.9286,"EWMA",0.75,21.7372,25.4279372769286,14
"Skewness","Skew-Normal",0.5,NA,0.525705788461043,0.359638502192026,0.3,2.9286,"WV",0.75,18.6394,19.649101159026,13
"Skewness","Skew-Normal",0.5,NA,0.487295929511911,0.314021205385524,0.3,2.9286,"WSD",0.75,16.8073,18.2490840761108,11
"Skewness","Skew-Normal",0.5,NA,0.531193231583183,0.380366472381567,0.3,2.9286,"SC",0.75,61.1409,103.203970626838,31
"Skewness","Skew-Normal",0.5,NA,0.457151594826787,0.178652525127209,0.1,2.6952,"EWMA",1,10.0972,5.68436305652057,9
"Skewness","Skew-Normal",0.5,NA,0.49568076616798,0.308215776873169,0.1,2.6952,"WV",1,9.5175,5.07923947233853,8
"Skewness","Skew-Normal",0.5,NA,0.504737596925382,0.37365865505806,0.1,2.6952,"WSD",1,9.0611,4.943016298882,8
"Skewness","Skew-Normal",0.5,NA,0.514954840143864,0.420753857389723,0.1,2.6952,"SC",1,14.4464,9.16672951128118,12
"Skewness","Skew-Normal",0.5,NA,0.484665772642472,0.358957353585486,0.2,2.8537,"EWMA",1,10.3019,7.62151987116183,8
"Skewness","Skew-Normal",0.5,NA,0.481213060938835,0.270564501679957,0.2,2.8537,"WV",1,9.6923,7.19427525673344,8
"Skewness","Skew-Normal",0.5,NA,0.463863785899026,0.206582796426222,0.2,2.8537,"WSD",1,8.9517,6.61961849693051,7
"Skewness","Skew-Normal",0.5,NA,0.476668846473737,0.314794865498707,0.2,2.8537,"SC",1,17.2905,16.4779932690913,12
"Skewness","Skew-Normal",0.5,NA,0.516665330896943,0.36385290720512,0.3,2.9286,"EWMA",1,11.8778,10.8696495844258,9
"Skewness","Skew-Normal",0.5,NA,0.464908547016629,0.29379882302581,0.3,2.9286,"WV",1,10.89,9.92967068114465,8
"Skewness","Skew-Normal",0.5,NA,0.491837507622557,0.324709143407909,0.3,2.9286,"WSD",1,9.691,8.76713210009556,7
"Skewness","Skew-Normal",0.5,NA,0.506126398648745,0.314102476695089,0.3,2.9286,"SC",1,24.5465,34.781176098158,15
"Skewness","Skew-Normal",0.5,NA,0.482301824605234,0.264975676647102,0.1,2.6952,"EWMA",1.5,5.8757,2.3003431630665,5
"Skewness","Skew-Normal",0.5,NA,0.520185429389073,0.399452401635427,0.1,2.6952,"WV",1.5,5.6048,2.20578863682608,5
"Skewness","Skew-Normal",0.5,NA,0.528037831078041,0.344731674555389,0.1,2.6952,"WSD",1.5,5.2459,2.03008505105856,5
"Skewness","Skew-Normal",0.5,NA,0.49350922737674,0.317594532406118,0.1,2.6952,"SC",1.5,7.6078,3.03866788416421,7
"Skewness","Skew-Normal",0.5,NA,0.53014630355724,0.463564287223779,0.2,2.8537,"EWMA",1.5,5.3942,2.70294967650072,5
"Skewness","Skew-Normal",0.5,NA,0.490740785324766,0.309780115879513,0.2,2.8537,"WV",1.5,5.0486,2.51651968542523,5
"Skewness","Skew-Normal",0.5,NA,0.521579321354742,0.355210406222724,0.2,2.8537,"WSD",1.5,4.8108,2.38184186651165,4
"Skewness","Skew-Normal",0.5,NA,0.478156787773046,0.263685967450011,0.2,2.8537,"SC",1.5,7.3742,4.1374250674325,6
"Skewness","Skew-Normal",0.5,NA,0.50689900638301,0.393636890809412,0.3,2.9286,"EWMA",1.5,5.4535,3.49048078287355,5
"Skewness","Skew-Normal",0.5,NA,0.516060963365425,0.363097214001333,0.3,2.9286,"WV",1.5,5.1155,3.2082376827322,4
"Skewness","Skew-Normal",0.5,NA,0.528957862360697,0.479554322995717,0.3,2.9286,"WSD",1.5,4.7717,2.9017272635641,4
"Skewness","Skew-Normal",0.5,NA,0.515496717663247,0.352047341329428,0.3,2.9286,"SC",1.5,8.77,6.91737558677428,7
"Skewness","Skew-Normal",1,NA,0.976691293251863,0.773062290390687,0.1,2.6952,"EWMA",0.25,104.2281,185.765327620858,49
"Skewness","Skew-Normal",1,NA,1.00289928015008,0.853807332554668,0.1,2.6952,"WV",0.25,76.9908,122.811573492152,40
"Skewness","Skew-Normal",1,NA,1.01339607396051,0.996308422987274,0.1,2.6952,"WSD",0.25,63.4812,112.180249988172,33
"Skewness","Skew-Normal",1,NA,0.971756601532878,0.799472642217339,0.1,2.6952,"SC",0.25,297.9434,387.155795200609,153
"Skewness","Skew-Normal",1,NA,1.0127411517702,0.950501235491588,0.2,2.8537,"EWMA",0.25,105.6906,178.219610297491,49
"Skewness","Skew-Normal",1,NA,0.990074036414947,0.849052938468368,0.2,2.8537,"WV",0.25,73.0495,122.161879496962,38
"Skewness","Skew-Normal",1,NA,1.00060203683409,0.868009254119826,0.2,2.8537,"WSD",0.25,52.697,79.1053358277155,29
"Skewness","Skew-Normal",1,NA,1.00139366052952,0.889848308498618,0.2,2.8537,"SC",0.25,369.2115,467.753439640779,187
"Skewness","Skew-Normal",1,NA,0.978867548516752,0.8118553182418,0.3,2.9286,"EWMA",0.25,96.6008,157.312200264936,48
"Skewness","Skew-Normal",1,NA,0.986198700143162,0.829219401247813,0.3,2.9286,"WV",0.25,66.328,101.694729449464,35
"Skewness","Skew-Normal",1,NA,1.02457577588872,0.973473816726057,0.3,2.9286,"WSD",0.25,48.6312,69.6688191445506,27
"Skewness","Skew-Normal",1,NA,0.973220351224953,0.849685682140619,0.3,2.9286,"SC",0.25,472.2423,568.120832322422,228
"Skewness","Skew-Normal",1,NA,0.965426631232756,0.735920140610855,0.1,2.6952,"EWMA",0.5,31.5534,37.928651527581,21
"Skewness","Skew-Normal",1,NA,1.01817791526815,0.907555388615487,0.1,2.6952,"WV",0.5,25.5748,26.6631486758359,18
"Skewness","Skew-Normal",1,NA,0.993105839910184,0.787660363226431,0.1,2.6952,"WSD",0.5,21.9081,24.6615180683863,15
"Skewness","Skew-Normal",1,NA,0.963826687527435,0.776646488674242,0.1,2.6952,"SC",0.5,122.7095,223.183418724576,53
"Skewness","Skew-Normal",1,NA,1.02518657949133,1.02359848648292,0.2,2.8537,"EWMA",0.5,36.0457,49.2395762075234,21
"Skewness","Skew-Normal",1,NA,1.01058454242101,0.908070565733086,0.2,2.8537,"WV",0.5,27.2367,34.035565443834,17
"Skewness","Skew-Normal",1,NA,1.01617534333223,0.961439832525071,0.2,2.8537,"WSD",0.5,21.6497,24.3647112403448,14
"Skewness","Skew-Normal",1,NA,0.999976607865044,0.967448067219578,0.2,2.8537,"SC",0.5,201.7672,340.941943364313,80
"Skewness","Skew-Normal",1,NA,0.983633556656854,0.764507856578092,0.3,2.9286,"EWMA",0.5,39.4986,59.3134572138622,22
"Skewness","Skew-Normal",1,NA,1.01082603334485,0.863360013625109,0.3,2.9286,"WV",0.5,28.7927,38.0615868711423,17
"Skewness","Skew-Normal",1,NA,0.963274840907568,0.792356777086429,0.3,2.9286,"WSD",0.5,22.6527,27.241224112347,14
"Skewness","Skew-Normal",1,NA,1.03944392216365,1.16547605072984,0.3,2.9286,"SC",0.5,271.9595,413.282360488201,113
"Skewness","Skew-Normal",1,NA,0.981644327225006,0.815553210162669,0.1,2.6952,"EWMA",0.75,15.922,13.0440994650104,12
"Skewness","Skew-Normal",1,NA,0.971779190944481,0.802616606138287,0.1,2.6952,"WV",0.75,13.8103,10.3115831366807,11
"Skewness","Skew-Normal",1,NA,1.00913027856624,0.933498631021152,0.1,2.6952,"WSD",0.75,12.0614,8.90291841115168,10
"Skewness","Skew-Normal",1,NA,1.00728751110708,0.844663657004195,0.1,2.6952,"SC",0.75,38.6804,58.0637321874813,25
"Skewness","Skew-Normal",1,NA,0.994162528033076,0.900264118892251,0.2,2.8537,"EWMA",0.75,17.5302,18.0484199448664,12
"Skewness","Skew-Normal",1,NA,0.998562278247654,0.932884750970752,0.2,2.8537,"WV",0.75,14.4489,14.2053218163754,10
"Skewness","Skew-Normal",1,NA,1.01166065883996,0.893941417846302,0.2,2.8537,"WSD",0.75,11.6097,10.2761532609525,9
"Skewness","Skew-Normal",1,NA,0.973015366280998,0.757323733754143,0.2,2.8537,"SC",0.75,65.3428,129.658867148927,31
"Skewness","Skew-Normal",1,NA,0.990201927927012,0.863262998866331,0.3,2.9286,"EWMA",0.75,19.6441,24.0089916147646,13
"Skewness","Skew-Normal",1,NA,1.00409604680642,0.884465234284459,0.3,2.9286,"WV",0.75,15.3636,17.6496330271935,10
"Skewness","Skew-Normal",1,NA,1.01985264456589,0.955251318855483,0.3,2.9286,"WSD",0.75,12.1963,11.8145640927827,9
"Skewness","Skew-Normal",1,NA,0.995093049615281,0.932640658110699,0.3,2.9286,"SC",0.75,95.5116,172.939054169629,42
"Skewness","Skew-Normal",1,NA,0.954161777965775,0.658173618027613,0.1,2.6952,"EWMA",1,10.005,6.05658676354285,9
"Skewness","Skew-Normal",1,NA,0.968977870127637,0.750212707352504,0.1,2.6952,"WV",1,8.9583,5.14637830235624,8
"Skewness","Skew-Normal",1,NA,0.985397657004158,0.86927255791114,0.1,2.6952,"WSD",1,8.1155,4.57253218195952,7
"Skewness","Skew-Normal",1,NA,0.988093833060501,0.864023310347352,0.1,2.6952,"SC",1,19.008,15.6427876569545,15
"Skewness","Skew-Normal",1,NA,1.00249749286094,0.844946855638356,0.2,2.8537,"EWMA",1,10.1357,8.1964018697451,8
"Skewness","Skew-Normal",1,NA,1.01373807648566,0.879420347122284,0.2,2.8537,"WV",1,8.6758,6.43831030193128,7
"Skewness","Skew-Normal",1,NA,1.01429638977202,0.955806680322227,0.2,2.8537,"WSD",1,7.459,5.52463312420976,6
"Skewness","Skew-Normal",1,NA,1.01155075035737,0.871069846437108,0.2,2.8537,"SC",1,27.5815,34.7091231533297,17
"Skewness","Skew-Normal",1,NA,1.02551020358911,0.978121007702324,0.3,2.9286,"EWMA",1,11.495,11.6438624585356,8
"Skewness","Skew-Normal",1,NA,1.01475977900843,0.921423456878302,0.3,2.9286,"WV",1,9.0582,7.94505664879208,7
"Skewness","Skew-Normal",1,NA,0.998205786864551,0.928503342128356,0.3,2.9286,"WSD",1,7.9351,6.77742438822698,6
"Skewness","Skew-Normal",1,NA,1.00305082714247,0.927106033454695,0.3,2.9286,"SC",1,41.3931,71.578533940296,21
"Skewness","Skew-Normal",1,NA,0.978886477720329,0.790890885596469,0.1,2.6952,"EWMA",1.5,5.8361,2.35133784662411,5
"Skewness","Skew-Normal",1,NA,0.986593480828282,0.834291035776514,0.1,2.6952,"WV",1.5,5.3044,2.13653858371712,5
"Skewness","Skew-Normal",1,NA,1.02087881042026,0.93488308999945,0.1,2.6952,"WSD",1.5,4.8528,1.98789520164753,5
"Skewness","Skew-Normal",1,NA,1.03157770774212,1.00414854112944,0.1,2.6952,"SC",1.5,9.2261,3.92480817390101,8
"Skewness","Skew-Normal",1,NA,1.00044971551296,0.892918546685871,0.2,2.8537,"EWMA",1.5,5.3532,2.83196959114615,5
"Skewness","Skew-Normal",1,NA,1.00413063337403,0.898166126149326,0.2,2.8537,"WV",1.5,4.8127,2.47657668025953,4
"Skewness","Skew-Normal",1,NA,1.00348360436214,0.897866436129916,0.2,2.8537,"WSD",1.5,4.3909,2.28394807994472,4
"Skewness","Skew-Normal",1,NA,1.0001764545004,0.935976140323191,0.2,2.8537,"SC",1.5,9.6562,6.94160069018769,8
"Skewness","Skew-Normal",1,NA,0.950662049892036,0.666781211412219,0.3,2.9286,"EWMA",1.5,5.4741,3.63161782884784,5
"Skewness","Skew-Normal",1,NA,0.977825068235529,0.802101969474336,0.3,2.9286,"WV",1.5,4.831,3.04984739895551,4
"Skewness","Skew-Normal",1,NA,1.00038201337128,0.864287884021922,0.3,2.9286,"WSD",1.5,4.2194,2.5514926320617,4
"Skewness","Skew-Normal",1,NA,0.97533718905443,0.75869592124213,0.3,2.9286,"SC",1.5,11.9353,11.908118837139,9
"Skewness","Skew-Normal",1.5,NA,1.00686831381108,0.959528074240548,0.1,2.6952,"EWMA",0.25,108.81,190.179702733844,50
"Skewness","Skew-Normal",1.5,NA,0.97839725110036,0.846357104840553,0.1,2.6952,"WV",0.25,78.0166,126.763550850481,40
"Skewness","Skew-Normal",1.5,NA,1.00207646708709,0.850187910258139,0.1,2.6952,"WSD",0.25,59.8554,97.881042907685,32
"Skewness","Skew-Normal",1.5,NA,0.976537183104276,0.747355969384524,0.1,2.6952,"SC",0.25,298.063,383.026890950125,155
"Skewness","Skew-Normal",1.5,NA,1.02555756855535,0.970978957669279,0.2,2.8537,"EWMA",0.25,101.0129,166.720915064493,49
"Skewness","Skew-Normal",1.5,NA,0.979112829755001,0.838248952255078,0.2,2.8537,"WV",0.25,72.2092,111.316749760482,38
"Skewness","Skew-Normal",1.5,NA,1.03690690192408,1.04604046306487,0.2,2.8537,"WSD",0.25,52.3401,79.9029065769071,29
"Skewness","Skew-Normal",1.5,NA,1.00517826214401,0.893380334897016,0.2,2.8537,"SC",0.25,366.3947,468.248282599441,182
"Skewness","Skew-Normal",1.5,NA,1.01761883154314,0.949028782187197,0.3,2.9286,"EWMA",0.25,98.1313,157.253065830149,49
"Skewness","Skew-Normal",1.5,NA,0.993022720145792,0.813003423606878,0.3,2.9286,"WV",0.25,64.3853,94.1008870394119,35
"Skewness","Skew-Normal",1.5,NA,1.02172522956746,0.989412464825085,0.3,2.9286,"WSD",0.25,48.5752,72.0994825119976,27
"Skewness","Skew-Normal",1.5,NA,1.00384929084311,0.877746968739453,0.3,2.9286,"SC",0.25,469.4606,562.776814751605,232
"Skewness","Skew-Normal",1.5,NA,0.997681898099982,0.853986593496803,0.1,2.6952,"EWMA",0.5,32.5904,42.9398790305832,21
"Skewness","Skew-Normal",1.5,NA,0.981070052561053,0.837838606767664,0.1,2.6952,"WV",0.5,26.506,30.3126648410359,18
"Skewness","Skew-Normal",1.5,NA,0.989604615682754,0.869813063252826,0.1,2.6952,"WSD",0.5,22.1562,22.8203259899553,16
"Skewness","Skew-Normal",1.5,NA,1.03353900601122,1.05146854744638,0.1,2.6952,"SC",0.5,131.0318,241.429019767547,55
"Skewness","Skew-Normal",1.5,NA,0.969424740098243,0.736294634961553,0.2,2.8537,"EWMA",0.5,37.2452,53.7819200703419,22
"Skewness","Skew-Normal",1.5,NA,0.954035352181679,0.666868485990951,0.2,2.8537,"WV",0.5,28.0101,35.8054688720887,17
"Skewness","Skew-Normal",1.5,NA,0.988100399072653,0.832629665321572,0.2,2.8537,"WSD",0.5,21.3552,22.9458162637201,14
"Skewness","Skew-Normal",1.5,NA,1.01857119159236,0.978791704605009,0.2,2.8537,"SC",0.5,212.4551,357.588880090959,83
"Skewness","Skew-Normal",1.5,NA,0.996151874817431,0.823363776503188,0.3,2.9286,"EWMA",0.5,40.3077,57.0106923534021,23
"Skewness","Skew-Normal",1.5,NA,0.967151731984826,0.71216069643087,0.3,2.9286,"WV",0.5,29.0273,39.6677968649736,17
"Skewness","Skew-Normal",1.5,NA,0.97870085091323,0.751007803856167,0.3,2.9286,"WSD",0.5,22.7643,27.9743418490979,14
"Skewness","Skew-Normal",1.5,NA,1.00845130459024,0.873876223757127,0.3,2.9286,"SC",0.5,261.1113,407.021390781327,107.5
"Skewness","Skew-Normal",1.5,NA,1.00904559981458,0.926791661469285,0.1,2.6952,"EWMA",0.75,15.6033,11.9694300547513,12
"Skewness","Skew-Normal",1.5,NA,1.00303862799337,0.958528808621093,0.1,2.6952,"WV",0.75,13.4977,10.0652235734015,11
"Skewness","Skew-Normal",1.5,NA,0.986655310530876,0.871254510162633,0.1,2.6952,"WSD",0.75,11.9883,8.49819892968533,10
"Skewness","Skew-Normal",1.5,NA,0.992870761589136,0.841165374279556,0.1,2.6952,"SC",0.75,37.6426,56.4973296719943,24
"Skewness","Skew-Normal",1.5,NA,1.02327348194398,0.960679725606616,0.2,2.8537,"EWMA",0.75,17.369,17.9437743215771,12
"Skewness","Skew-Normal",1.5,NA,0.987163941792384,0.793686584252556,0.2,2.8537,"WV",0.75,14.2702,13.5731799914946,10
"Skewness","Skew-Normal",1.5,NA,1.00331999483453,0.915538061640147,0.2,2.8537,"WSD",0.75,12.0851,11.1131727355794,9
"Skewness","Skew-Normal",1.5,NA,1.01009577261068,0.969852331018615,0.2,2.8537,"SC",0.75,66.2524,117.941729338652,32
"Skewness","Skew-Normal",1.5,NA,0.986241407380704,0.78970573788059,0.3,2.9286,"EWMA",0.75,19.4457,21.8219813811015,13
"Skewness","Skew-Normal",1.5,NA,1.01153342655143,1.00529219121985,0.3,2.9286,"WV",0.75,15.4985,16.7393553744412,10
"Skewness","Skew-Normal",1.5,NA,0.964855601995615,0.811969078332934,0.3,2.9286,"WSD",0.75,12.6477,13.5068955845832,9
"Skewness","Skew-Normal",1.5,NA,0.986939537189157,0.834550502606589,0.3,2.9286,"SC",0.75,96.0777,176.637498123372,42
